setV,readV
40,10.326958118639595
45,10.692511425986595
45,10.706096177273139
45,11.090174145465426
50,12.753688689372211
50,12.99574425775063
50,13.043908375948376
50,13.351417745980143
45,13.570008743954531
50,14.217136896149896
45,14.975413013416983
45,15.018637222055986
45,15.411360031976074
45,15.941165332151286
45,16.01032406597369
50,17.07487457588286
50,17.431783041502058
50,18.322201739465527
50,19.322533425111033
55,20.49082203575381
50,21.07126140890614
55,21.23057349217561
60,21.525733088310517
55,21.623296302095696
60,21.62453127948538
55,23.20777229306259
60,23.921589224300988
55,24.46621425315243
60,24.90833615865995
55,25.156566613986797
55,25.722186258462898
60,25.79504992445436
60,26.142078570956073
65,26.39648391323135
55,26.686703599807515
60,26.70893319282186
65,26.752157401460863
65,27.449919626633346
65,27.771013747951656
55,27.89698144169961
55,28.02047918066819
65,29.017105934144638
65,29.288800959875516
60,29.324615304176405
60,30.25455327860982
60,30.418805271438032
65,31.740231078401848
70,32.802311633531644
70,33.1542801895921
70,33.20738421734859
70,33.801408341787464
70,33.86562716605113
70,33.87921191733767
65,34.09162802836363
70,35.14629871915531
65,35.59212555683189
70,36.21949407079228
65,36.28124294027657
70,37.20871095993061
70,38.26461662811198
75,43.47745618997578
80,43.8763538868443
75,43.8849987285721
80,44.18509823426575
80,44.93349453241535
75,45.04340752009739
75,46.48215617908136
75,46.600714008491195
75,46.64270323974051
75,46.8094251873481
80,46.8699390794427
75,46.89957853679516
75,47.23055247723096
75,47.48989772906498
85,49.89810363895231
80,50.02160137792089
85,50.34022554445983
80,50.4032093913338
80,52.43227724258759
90,52.571829687622085
80,52.58170950673957
80,52.65086824056198
90,52.90897851500631
85,52.9793722262184
80,53.317756030992314
90,53.35727530746226
85,53.8932554945859
90,54.2847433271163
90,55.203566505042545
85,55.3641135657017
85,55.981602260544605
90,57.193115079826384
85,57.70192576437694
95,57.98967549617373
85,58.63062876142067
90,58.65656328660407
95,58.98012736270175
85,58.98877220442955
85,59.06904573475913
95,60.15829579246201
90,60.25091909668845
95,60.9338615931847
90,61.937898210999265
90,62.2132981688992
95,63.78171945380018
95,64.03859475085483
100,65.7638581642459
95,66.23067961754714
95,66.9210319783815
95,67.74105696513288
95,68.40300484600448
100,68.49068824067217
100,68.52403263019369
105,70.2369462696879
100,70.72229238383443
100,70.77292645681155
105,71.00139727390342
105,71.03227170864557
105,71.12859994504106
100,72.15610113325965
100,73.05269471817155
100,73.32315476651274
100,73.48987671412033
100,73.7097026894844
105,73.85543002146733
110,76.17595253668696
105,76.66500358300254
110,76.9206439026675
110,78.5310544188178
105,78.90772252267197
105,78.94724179914192
105,79.43011795850907
105,79.72280759986461
110,80.30201199562725
110,80.61569625260745
110,81.00594910774817
115,81.4554808775938
110,82.15818301232503
115,82.27550586434518
115,82.44469776673213
110,83.46231913583324
115,83.83898723968741
115,83.98594954906002
120,84.67630190989439
120,84.93441218433873
120,84.97022652863961
120,85.09248929021851
120,85.1542381597028
110,85.33330988120724
110,85.47409730363142
115,86.31511690600746
120,86.65597066556074
120,86.84739216096204
115,87.46735081058432
115,87.96257674384833
120,88.21945204090298
120,89.91260604216222
115,89.95459527341154
125,90.35596292505943
115,91.20439239177358
125,92.02688733330433
120,92.10592588624422
125,92.17014471050788
125,93.6311229625062
125,94.93278913123504
130,96.07761317147379
130,96.21346068433922
125,96.33325349113875
130,96.96803186943725
130,97.12363902053767
125,97.58799051905953
130,97.96712857769307
130,98.71181994367362
125,98.89459659734712
130,99.16135171351925
125,99.29102433943626
130,99.55160456865997
125,99.86405384825048
130,100.47042774658621
135,101.57202757818595
130,101.63130649289087
135,101.76468405097694
135,102.26114496163063
135,102.98113677981746
135,103.35286497411289
135,104.1259608200562
135,105.16087187261292
135,105.59558391378232
140,107.29367782460031
140,107.33690203323931
135,107.7123351597038
140,109.64754472934146
135,109.99951328540192
140,111.74453633702797
145,113.39817106181727
145,113.77483916567144
140,114.14533238257718
140,114.78381569304474
145,114.94683270848327
145,114.9530075954317
140,115.83972136122611
140,116.07436706526642
150,116.47202978474525
